setting,average_precision,roc_auc,daily_precision_at_5,daily_lift_at_5
defaults,0.37802171661574996,0.7473495012138306,0.19399477806788515,1.6657689232694672
n_estimators=150,0.3790277346257974,0.7501088919528656,0.19373368146214104,1.6635269731708544
n_estimators=600,0.37840953496487073,0.7484381346865685,0.19295039164490863,1.656801122875015
max_depth=8,0.37768843786849704,0.747344638263221,0.19425587467362926,1.66801087336808
max_depth=20,0.3774830210639817,0.7468028483541296,0.19347258485639685,1.6612850230722407
max_depth=None,0.37727963664528014,0.7466263518525935,0.19399477806788512,1.665768923269467
min_samples_leaf=5,0.3832742370733695,0.7461715229426382,0.19138381201044388,1.6433494222833371
min_samples_leaf=50,0.3695106286344159,0.7468000831469201,0.19425587467362926,1.66801087336808
max_features=sqrt,0.37802171661574996,0.7473495012138306,0.19399477806788515,1.6657689232694672
max_features=0.5,0.38785770204884645,0.7444762602193477,0.19295039164490863,1.656801122875015
