cut,group,filings,median_abs_reaction,material_share,median_value_usd
direction,sell,17698,0.5479874928878677,0.05424341733529212,177032.8565
direction,buy,7793,0.6536375682943455,0.12472731938919543,27272.36999999998
direction,flat,215,0.6200717724561084,0.09767441860465116,0.0
behaviour,opportunistic,7243,0.5867684823746888,0.0665470109070827,153985.625
behaviour,unknown,17348,0.5716246412534909,0.08087387595111828,96127.9553
behaviour,routine,1115,0.5268001160313729,0.06098654708520179,34647.0597
disclosed plan,not under a plan,23144,0.5759096554254968,0.07824922226062911,100517.75
disclosed plan,under a plan,2562,0.5623097073541928,0.05542544886807182,129207.3075
role,officer,15320,0.5686790584763981,0.07265013054830287,113805.28
role,director,8924,0.5974610771818085,0.08370685791125056,66833.0
role,other,1462,0.5187291949759312,0.06361149110807114,1966809.443
