feature,importance,std,folds
item_2_02,0.16731658465701998,0.019547829326290813,5
released_open,0.062261006746718875,0.029889488919812864,5
rel_volume,0.05837940815025899,0.011145644381540195,5
hour_et,0.046303535553004774,0.04805603472810628,5
log_dollar_volume,0.009328176736307606,0.009549746529266741,5
days_since_prev_filing,0.0070930874949167305,0.007984453191728118,5
filings_trailing_year,0.005897366094296379,0.01185914760001847,5
log_doc_chars,0.004591167458779825,0.01311300470321636,5
doc_chars_vs_median,0.0031363699945244463,0.006981062401273128,5
weekday,0.0009402382723144309,0.0045281578575765485,5
item_7_01,0.000866296271757335,0.0012359494652703748,5
item_1_01,0.0005343401329165593,0.0033694295477306613,5
item_1_02,0.0002544468026158708,0.0005903628663044793,5
item_9_01,9.627432973599026e-05,8.178552131041392e-05,5
n_items,9.476078432437694e-05,0.0020825131240169753,5
item_2_05,9.100631253902888e-05,0.00020349630121886005,5
novelty,7.286315955979945e-05,0.0036651376104169615,5
released_post,5.785783719763904e-05,0.0001552655533022494,5
released_closed,0.0,0.0,5
item_5_01,0.0,0.0,5
item_4_02,0.0,0.0,5
item_2_06,0.0,0.0,5
item_1_03,0.0,0.0,5
item_4_01,0.0,0.0,5
item_3_03,0.0,0.0,5
item_3_02,0.0,0.0,5
item_3_01,0.0,0.0,5
first_filing,0.0,0.0,5
item_2_04,0.0,0.0,5
item_2_01,0.0,0.0,5
item_2_03,-1.4926571627564094e-05,3.126937311601765e-05,5
released_pre,-7.677962987758801e-05,0.00017168447169356067,5
item_5_07,-0.00012429158461709405,0.0003723178035366119,5
item_5_02,-0.00014243562520728595,0.0011842964357895508,5
item_5_03,-0.00036194019286992873,0.0007649890489616143,5
item_8_01,-0.0007874534755259047,0.0015292280406288344,5
abs_ret_5,-0.002453673594329523,0.006342073984067438,5
vol_20,-0.0033794867061409883,0.0050393347008049205,5
