threshold,read_now,share,precision,recall,shipped
0.15,3430,0.3856098931984261,0.2661807580174927,0.47751046025104604,False
0.2,2566,0.28847667228780216,0.303975058456742,0.40794979079497906,False
0.25,1936,0.2176503653738055,0.3434917355371901,0.34780334728033474,False
0.3,1357,0.152557616638561,0.36845983787767134,0.2615062761506276,False
0.35,805,0.09050028105677346,0.422360248447205,0.17782426778242677,True
0.4,428,0.048116919617762786,0.514018691588785,0.11506276150627615,False
0.45,189,0.021247892074198988,0.5185185185185185,0.051255230125523014,False
0.5,43,0.004834176503653738,0.5116279069767442,0.011506276150627616,False
0.55,6,0.0006745362563237774,0.6666666666666666,0.0020920502092050207,False
0.6,0,0.0,,0.0,False
0.65,0,0.0,,0.0,False
0.7,0,0.0,,0.0,False
0.75,0,0.0,,0.0,False
0.8,0,0.0,,0.0,False
0.85,0,0.0,,0.0,False
