forecaster,regime,filings,median_actual,coverage_50,coverage_80,width_80,pinball_mean
random_walk,ordinary,3815,0.25394908165046715,0.5478374836173001,0.8424639580602883,0.29121790502636175,0.028137361097440156
random_walk,turbulent,3786,0.3433067206387556,0.4326465927099842,0.7147385103011094,0.5166045398381695,0.05550050358282625
random_walk,calm,3854,0.2019651879232489,0.527244421380384,0.8149974052932019,0.18943520642597642,0.024054026840753195
climatology,ordinary,3815,0.25394908165046715,0.4935779816513762,0.8031454783748362,0.2609786707782753,0.02812598038717884
climatology,turbulent,3786,0.3433067206387556,0.4741151611199155,0.7997886951928156,0.32462274988865875,0.04047557858528238
climatology,calm,3854,0.2019651879232489,0.5025947067981318,0.8069538142189933,0.22321507467179652,0.02258210505850728
har,ordinary,3815,0.25394908165046715,0.472346002621232,0.7737876802096986,0.22182539214742628,0.02669489904392707
har,turbulent,3786,0.3433067206387556,0.4717379820390914,0.7527733755942948,0.31148507904070344,0.03812251653643683
har,calm,3854,0.2019651879232489,0.5012973533990659,0.7957965749870265,0.17200301463460826,0.02066686267631906
chronos,ordinary,3815,0.25394908165046715,0.4461336828309305,0.7551769331585846,0.20855991319979456,0.027065777400051873
chronos,turbulent,3786,0.3433067206387556,0.45985208663497096,0.7601690438457475,0.351493564714946,0.04047452600498659
chronos,calm,3854,0.2019651879232489,0.4429164504411002,0.7488323819408407,0.1517842133504493,0.022064421757584135
